Year,Month,TimeOfDay,District,Community_Area,CrimeCount,Arrests
2001,1,Morning,22,59.70588235294117,1,0
2001,1,Morning,22,60.55555555555556,1,1
2001,1,Morning,22,61,1,0
2001,1,Morning,22,62,1,0
2001,1,Morning,22,63.44444444444444,1,1
2001,1,Morning,22,66.33333333333333,1,0
2001,1,Morning,22,67,1,0
2001,1,Morning,22,71,12,1
2001,1,Morning,22,72,1,0
2001,1,Morning,22,73,48,8
2001,1,Morning,22,74,1,0
2001,1,Morning,22,75,9,5
2001,1,Morning,24,-1,170,30
2001,1,Morning,24,1,32,11
2001,1,Morning,24,2,6,1
2001,1,Morning,24,77,11,6
2001,1,Morning,25,-1,389,111
2001,1,Morning,25,19,13,1
2001,1,Morning,25,20,8,0
2001,1,Morning,25,21,3,2
2001,1,Morning,25,22,7,1
2001,1,Morning,25,23,18,9
2001,1,Morning,25,25,9,2
2001,1,Night,1,-1,33,11
2001,1,Night,1,28,21,9
2001,1,Night,1,32,56,13
2001,1,Night,1,32.12,1,1
2001,1,Night,1,33,4,0
2001,1,Night,2,-1,284,100
2001,1,Night,2,33,22,10
2001,1,Night,2,34,3,0
2001,1,Night,2,35,31,14
2001,1,Night,2,36,1,0
2001,1,Night,2,36.66666666666666,2,1
2001,1,Night,2,37,1,1
2001,1,Night,2,38,32,9
2001,1,Night,2,39,1,0
2001,1,Night,2,40,4,0
2001,1,Night,3,-1,267,50
2001,1,Night,3,42,2,0
2001,1,Night,3,43,7,2
2001,1,Night,3,69,2,1
2001,1,Night,4,-1,268,54
2001,1,Night,4,43,6,3
2001,1,Night,4,43.5,2,0
2001,1,Night,4,43.93103448275862,1,0
2001,1,Night,4,46,1,0
2001,1,Night,4,52,17,5
2001,1,Night,4,55,3,2
2001,1,Night,5,-1,190,48
2001,1,Night,5,49,13,3
2001,1,Night,5,53,21,3
2001,1,Night,5,54,2,0
2001,1,Night,6,-1,234,41
2001,1,Night,6,44,1,0
2001,1,Night,6,69,2,1
2001,1,Night,6,71,39,8
2001,1,Night,7,-1,180,39
2001,1,Night,7,67,38,8
2001,1,Night,7,68,56,15
2001,1,Night,8,-1,348,109
2001,1,Night,8,57,3,0
2001,1,Night,8,62,5,2
2001,1,Night,8,63,2,0
2001,1,Night,8,65,3,1
2001,1,Night,8,66,16,5
2001,1,Night,8,70,5,3
2001,1,Night,9,-1,183,53
2001,1,Night,9,34,2,0
2001,1,Night,9,36.5,1,1
2001,1,Night,9,37,3,3
2001,1,Night,9,58,9,1
2001,1,Night,9,58.11111111111112,1,1
2001,1,Night,9,59,3,0
2001,1,Night,9,60,12,3
2001,1,Night,9,60.46666666666667,1,0
2001,1,Night,9,61,49,20
2001,1,Night,9,63,4,1
2001,1,Night,9,64,1,0
2001,1,Night,10,-1,177,69
2001,1,Night,10,29,10,4
2001,1,Night,10,29.2,1,0
2001,1,Night,10,29.307692307692307,1,1
2001,1,Night,10,30,9,3
2001,1,Night,10,31,4,0
2001,1,Night,11,-1,164,63
2001,1,Night,11,23,15,9
2001,1,Night,11,24.5,1,0
2001,1,Night,11,25,3,2
2001,1,Night,11,26,41,14
2001,1,Night,11,27,41,20
2001,1,Night,11,28,8,2
2001,1,Night,11,29,8,5
2001,1,Night,12,-1,147,46
2001,1,Night,12,23,1,0
2001,1,Night,12,24,44,5
2001,1,Night,12,27,5,4
2001,1,Night,12,28,80,41
2001,1,Night,12,31,18,7
2001,1,Night,14,-1,282,75
2001,1,Night,14,21,4,1
2001,1,Night,14,22,23,2
2001,1,Night,14,23,5,2
2001,1,Night,14,23.666666666666668,1,0
2001,1,Night,14,24,27,10
2001,1,Night,15,-1,159,48
2001,1,Night,15,25,61,24
2001,1,Night,16,-1,125,42
2001,1,Night,16,11,2,1
2001,1,Night,16,15,23,5
2001,1,Night,16,17,8,4
2001,1,Night,16,76,24,11
2001,1,Night,17,-1,143,26
2001,1,Night,17,12,1,0
2001,1,Night,17,14,9,2
2001,1,Night,17,15,2,1
2001,1,Night,17,16,37,12
2001,1,Night,17,20,1,0
2001,1,Night,17,20.904761904761905,1,0
2001,1,Night,17,21,4,1
2001,1,Night,18,-1,109,37
2001,1,Night,18,7,22,2
2001,1,Night,18,8,194,71
2001,1,Night,19,-1,172,56
2001,1,Night,19,3,23,10
2001,1,Night,19,5,16,4
2001,1,Night,19,6,69,28
2001,1,Night,19,7,17,5
2001,1,Night,20,-1,71,21
2001,1,Night,20,3,24,8
2001,1,Night,20,4,7,1
2001,1,Night,20,77,13,3
2001,1,Night,22,-1,102,16
2001,1,Night,22,49,1,0
2001,1,Night,22,53,1,1
2001,1,Night,22,62,1,0
2001,1,Night,22,71,6,1
2001,1,Night,22,72,1,0
2001,1,Night,22,73,29,2
2001,1,Night,22,74,2,0
2001,1,Night,22,75,6,0
2001,1,Night,24,-1,166,48
2001,1,Night,24,1,30,12
2001,1,Night,24,2,4,1
2001,1,Night,24,77,6,5
2001,1,Night,25,-1,237,69
2001,1,Night,25,19,14,4
2001,1,Night,25,20,5,1
2001,1,Night,25,21,6,3
2001,1,Night,25,22,7,1
2001,1,Night,25,23,11,7
2001,1,Night,25,25,9,4
2001,2,Afternoon,1,-1,158,38
2001,2,Afternoon,1,28,53,14
2001,2,Afternoon,1,32,284,122
2001,2,Afternoon,1,32.12,5,5
2001,2,Afternoon,1,33,5,1
2001,2,Afternoon,1,33.75,1,0
2001,2,Afternoon,1,35,1,0
2001,2,Afternoon,2,-1,652,232
2001,2,Afternoon,2,33,26,12
2001,2,Afternoon,2,33.977777777777774,1,0
2001,2,Afternoon,2,34,6,2
2001,2,Afternoon,2,35,110,91
2001,2,Afternoon,2,36.66666666666666,1,1
2001,2,Afternoon,2,36.75,1,0
2001,2,Afternoon,2,37,2,0
2001,2,Afternoon,2,38,90,49
2001,2,Afternoon,2,40,10,4
2001,2,Afternoon,2,68,2,1
2001,2,Afternoon,3,-1,513,150
2001,2,Afternoon,3,40,1,0
2001,2,Afternoon,3,41,1,0
2001,2,Afternoon,3,42,5,0
2001,2,Afternoon,3,43,17,4
2001,2,Afternoon,3,68,2,2
2001,2,Afternoon,3,69,10,3
2001,2,Afternoon,4,-1,475,149
2001,2,Afternoon,4,43,7,2
2001,2,Afternoon,4,43.5,2,0
2001,2,Afternoon,4,43.93103448275862,2,0
2001,2,Afternoon,4,46,6,3
2001,2,Afternoon,4,48,1,0
2001,2,Afternoon,4,51,1,0
2001,2,Afternoon,4,52,24,7
2001,2,Afternoon,5,-1,344,84
2001,2,Afternoon,5,49,11,5
2001,2,Afternoon,5,53,39,16
2001,2,Afternoon,5,54,1,0
2001,2,Afternoon,6,-1,436,150
2001,2,Afternoon,6,44,9,1
2001,2,Afternoon,6,49,6,0
2001,2,Afternoon,6,69,7,1
2001,2,Afternoon,6,69.875,1,0
2001,2,Afternoon,6,71,110,29
2001,2,Afternoon,7,-1,360,99
2001,2,Afternoon,7,67,82,26
2001,2,Afternoon,7,68,141,42
2001,2,Afternoon,7,68.14285714285714,1,0
2001,2,Afternoon,8,-1,595,160
2001,2,Afternoon,8,57,6,0
2001,2,Afternoon,8,58,1,0
2001,2,Afternoon,8,62,16,4
2001,2,Afternoon,8,63,10,3
2001,2,Afternoon,8,64,1,0
2001,2,Afternoon,8,65,22,8
2001,2,Afternoon,8,66,38,11
2001,2,Afternoon,8,66.875,2,0
2001,2,Afternoon,8,70,3,0
2001,2,Afternoon,9,-1,360,110
2001,2,Afternoon,9,34,2,2
2001,2,Afternoon,9,37,7,2
2001,2,Afternoon,9,58,11,3
2001,2,Afternoon,9,59,6,2
2001,2,Afternoon,9,60,27,8
2001,2,Afternoon,9,60.5,1,0
2001,2,Afternoon,9,61,76,32
2001,2,Afternoon,9,63,3,1
2001,2,Afternoon,10,-1,409,177
2001,2,Afternoon,10,29,28,13
2001,2,Afternoon,10,30,21,8
2001,2,Afternoon,10,31,16,9
2001,2,Afternoon,11,-1,377,178
2001,2,Afternoon,11,23,44,20
2001,2,Afternoon,11,25,13,7
2001,2,Afternoon,11,26,75,30
2001,2,Afternoon,11,27,81,37
2001,2,Afternoon,11,28,12,5
2001,2,Afternoon,11,28.714285714285715,1,0
2001,2,Afternoon,11,29,29,15
2001,2,Afternoon,12,-1,306,104
2001,2,Afternoon,12,23,4,0
2001,2,Afternoon,12,24,70,16
2001,2,Afternoon,12,27,11,5
2001,2,Afternoon,12,27.77777777777778,1,0
2001,2,Afternoon,12,28,112,39
2001,2,Afternoon,12,31,44,14
2001,2,Afternoon,14,-1,410,110
2001,2,Afternoon,14,21,6,0
2001,2,Afternoon,14,22,39,6
2001,2,Afternoon,14,23,10,4
2001,2,Afternoon,14,23.666666666666668,1,0
2001,2,Afternoon,14,24,38,8
2001,2,Afternoon,15,-1,294,137
2001,2,Afternoon,15,25,179,117
2001,2,Afternoon,16,-1,259,32
2001,2,Afternoon,16,9,1,0
2001,2,Afternoon,16,10,2,1
2001,2,Afternoon,16,11,1,0
2001,2,Afternoon,16,12,1,0
2001,2,Afternoon,16,12.6,1,0
2001,2,Afternoon,16,14,2,0
2001,2,Afternoon,16,15,26,6
2001,2,Afternoon,16,15.666666666666666,1,0
2001,2,Afternoon,16,17,16,4
2001,2,Afternoon,16,76,41,10
2001,2,Afternoon,17,-1,252,64
2001,2,Afternoon,17,13,3,0
2001,2,Afternoon,17,14,12,0
2001,2,Afternoon,17,15,15,11
2001,2,Afternoon,17,16,47,13
2001,2,Afternoon,17,17.176470588235293,5,3
2001,2,Afternoon,17,18.5,1,0
2001,2,Afternoon,17,20,1,1
2001,2,Afternoon,17,20.33333333333333,2,2
2001,2,Afternoon,17,20.615384615384617,1,0
2001,2,Afternoon,17,20.73684210526316,1,1
2001,2,Afternoon,17,20.904761904761905,5,2
2001,2,Afternoon,17,21,2,0
2001,2,Afternoon,18,-1,187,69
2001,2,Afternoon,18,7,29,2
2001,2,Afternoon,18,8,278,77
2001,2,Afternoon,18,9.846153846153848,9,1
2001,2,Afternoon,19,-1,320,98
2001,2,Afternoon,19,3,68,29
2001,2,Afternoon,19,4,1,0
2001,2,Afternoon,19,4.2,1,0
2001,2,Afternoon,19,4.469387755102041,4,1
2001,2,Afternoon,19,4.5,1,0
2001,2,Afternoon,19,5,27,8
2001,2,Afternoon,19,6,79,24
2001,2,Afternoon,19,7,15,3
2001,2,Afternoon,20,-1,112,41
2001,2,Afternoon,20,2,1,0
2001,2,Afternoon,20,3,40,8
2001,2,Afternoon,20,4,5,1
2001,2,Afternoon,20,77,26,11
2001,2,Afternoon,22,-1,220,64
2001,2,Afternoon,22,49,8,2
2001,2,Afternoon,22,60.55555555555556,1,0
2001,2,Afternoon,22,60.81818181818182,1,0
2001,2,Afternoon,22,62,1,1
2001,2,Afternoon,22,62.6,2,2
2001,2,Afternoon,22,71,14,8
2001,2,Afternoon,22,72,8,0
2001,2,Afternoon,22,73,57,11
2001,2,Afternoon,22,74,6,1
2001,2,Afternoon,22,75,10,2
2001,2,Afternoon,24,-1,250,56
2001,2,Afternoon,24,1,36,14
2001,2,Afternoon,24,2,10,3
